序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
724,15DGB002Z-S164,英语B-164班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
725,15DGB002Z-S168,英语B-168班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Ann Marie Ross,中央民族大学
726,15DGB002Z-S182,英语B-182班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
727,15DGB002Z-S190,英语B-190班（中）-高级口语,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
728,15DGB002Z-W103,英语B-103班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,房印杰,其它
729,15DGB002Z-W104,英语B-104班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
730,15DGB002Z-W106,英语B-106班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,吴江梅,其它
731,15DGB002Z-W109,英语B-109班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,吴江梅,其它
732,15DGB002Z-W110,英语B-110班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,高建平,其它
733,15DGB002Z-W111,英语B-111班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,高建平,其它
734,15DGB002Z-W113,英语B-113班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
735,15DGB002Z-W114,英语B-114班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,尉洪池,其它
736,15DGB002Z-W122,英语B-122班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,吴江梅,其它
737,15DGB002Z-W133,英语B-133班（中）-高级写作,PhD English,公共必修课,,36/1.0,焦丽霞,其它
738,15DGB002Z-W136,英语B-136班（中）-高级写作,PhD English,公共必修课,,36/1.0,尉洪池,其它
739,15DGB002Z-W145,英语B-145班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
740,15DGB002Z-W146,英语B-146班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,ROBERT THOMAS TUOHEY,其它
741,15DGB002Z-W149,英语B-149班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,房印杰,其它
742,15DGB002Z-W150,英语B-150班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
743,15DGB002Z-W161,英语B-161班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,樊玲,其它
744,15DGB002Z-W165,英语B-165班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
745,15DGB002Z-W166,英语B-166班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
746,15DGB002Z-W167,英语B-167班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,焦丽霞,其它
747,15DGB002Z-W169,英语B-169班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,宋成方,其它
748,15DGB002Z-W170,英语B-170班（中）-高级写作,PhD English,公共必修课,,36/1.0,宋成方,其它
749,15DGB002Z-W188,英语B-188班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,樊玲,其它
750,15DGB002Z-W189,英语B-189班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,Philip John Docherty,其它
751,15DGB002Z-W191,英语B-191班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,郝钦海,首都经济贸易大学
752,15DGB002Z-W192,英语B-192班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,张慧宇,首都经济贸易大学
753,15DGB002Z-W193,英语B-193班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,张慧宇,首都经济贸易大学
754,15DGB002Z-W194,英语B-194班（中）-高级写作,PhD English Program,公共必修课,,36/1.0,郝钦海,首都经济贸易大学
755,15MGB001H-001,英语A-01班（怀）,MS English Program,公共必修课,,36/3.0,洪雷,外语系
756,15MGB001H-002,英语A-02班（怀）,MS English Program,公共必修课,,36/3.0,洪雷,外语系
757,15MGB001H-003,英语A-03班（怀）,MS English Program,公共必修课,,36/3.0,洪雷,外语系
758,15MGB001H-004,英语A-04班（怀）,MS English Program,公共必修课,,36/3.0,范嘉舜,外语系
759,15MGB001H-005,英语A-05班（怀）,MS English Program,公共必修课,,36/3.0,田禾,外语系
760,15MGB001H-006,英语A-06班（怀）,MS English Program,公共必修课,,36/3.0,田禾,外语系
761,15MGB001H-007,英语A-07班（怀）,MS English Program,公共必修课,,36/3.0,彭宇,外语系
762,15MGB001H-008,英语A-08班（怀）,MS English Program,公共必修课,,36/3.0,孔飞,北京交通大学
763,15MGB001H-009,英语A-09班（怀）,MS English Program,公共必修课,,36/3.0,姜文东,外语系
764,15MGB001H-010,英语A-10班（怀）,MS English Program,公共必修课,,36/3.0,赵新,其它
765,15MGB001H-011,英语A-11班（怀）,MS English Program,公共必修课,,36/3.0,张旭,外语系
766,15MGB001H-012,英语A-12班（怀）,MS English Program,公共必修课,,36/3.0,张旭,外语系
767,15MGB001H-013,英语A-13班（怀）,MS English Program,公共必修课,,36/3.0,姜文东,外语系
