序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
213,061M6002H,进化发育生物学研讨课,Evolutionary Developmental Biology,专业研讨课,生物学,30/2.0,贺超英,植物研究所
214,071M4001H,地球物理学基础,Fundamentals of Geophysics,专业核心课,固体地球物理学,60/4.0,魏东平,地球与行星科学学院
215,071M4002H,地球电磁现象物理学,Physics of Electromagnetic Phenomena of the Earth,专业核心课,固体地球物理学,60/4.0,"杜爱民,葛亚松",地质与地球物理研究所
216,071M4005H,工程地震学,Engineering Seismology,专业核心课,固体地球物理学,70/4.5,"周本刚,章文波",地球与行星科学学院
217,071M4007H,空间等离子体物理学,Space Plasma Physics,专业核心课,空间物理学,60/4.0,"王赤,傅绥燕",其它
218,071M4010H,地球动力学基础,Foundations of Geodynamics,专业核心课,地球动力学,72/4.5,王世民,地球与行星科学学院
219,071M4011H,有限元方法与计算地球动力学,Finite Element Method and Computational Geodynamics,专业核心课,地球动力学,50/3.0,张怀,地球与行星科学学院
220,071M4013H,数字信号处理（地学）,Digital Signal Processing for Geosciences,专业核心课,地球动力学,60/4.0,"周元泽,艾印双",地球与行星科学学院
221,071M5001H,地球科学反演导论,Introduction of Inversion Methods for Earth Science,专业普及课,固体地球物理学,50/3.0,"王彦飞,周元泽",地球与行星科学学院
222,071M5002H,现代地学实验分析技术,Modern Experimental Analytical Techniques （Geoscience）,专业普及课,固体地球物理学,53/3.0,"马麦宁,姜能",地球与行星科学学院
223,071M5003H,高等地震学,Advanced Seismology,专业普及课,固体地球物理学,50/3.0,"于湘伟,陈晓非",地球与行星科学学院
224,071M5005H,地球介质力学,Mechanics of the Earth Medium,专业普及课,固体地球物理学,40/2.5,罗纲,地球与行星科学学院
225,071M5006H,空间等离子体模拟,Numerical Simulation of the Space Plasma,专业普及课,空间物理学,40/2.5,"沈芳,郭孝城",中国科学院国家空间科学中心
226,071M5008H,构造物理学基础,Foundation of Tectonophysics,专业普及课,地球动力学,52/3.0,"宁杰远,魏荣强",地球与行星科学学院
227,071M5012H,中层大气动力学导论,Introductory Course to the Dynamics of The Middle Atmosphere,专业普及课,空间物理学,51/3.0,"余优,陈泽宇",地质与地球物理研究所
228,071M5013H,空间环境探测原理,The Principle of Space Environment Exploration,专业普及课,空间物理学,50/3.0,"李国主,乐新安",地质与地球物理研究所
229,071M5015H,地震仪器操作及台站布设,Seismograph Operation and Station Installation,专业普及课,地球动力学,48/2.0,"艾印双,李丽",地球与行星科学学院
230,072M4001H,火成岩石学,Igneous Rocks,专业核心课,矿物学、岩石学、矿床学,60/4.0,"吴福元,徐义刚",地球与行星科学学院
231,072M4004H,沉积盆地成因,Origin of Sedimentary Basin,专业核心课,矿物学、岩石学、矿床学,50/3.0,孟庆任,地质与地球物理研究所
232,072M4006H,矿物物理学,Mineral Physics,专业核心课,矿物学、岩石学、矿床学,50/3.0,"张毅刚,郭光军",地质与地球物理研究所
233,072M4007H,高等矿床学,Higher Economic Geology,专业核心课,矿物学、岩石学、矿床学,60/4.0,"秦克章,胡瑞忠",地球与行星科学学院
234,072M4008H,元素地球化学,Element Geochemistry,专业核心课,地球化学,60/4.0,"郭敬辉,孙卫东",地球与行星科学学院
235,072M4010H,有机地球化学,Organic Geochemistry,专业核心课,地球化学,60/4.0,"彭平安,蔡春芳",地质与地球物理研究所
236,072M4011H,脊椎动物进化,Vertebrate Evolution,专业核心课,古生物学与地层学,60/4.0,"邓涛,朱敏",古脊椎动物与古人类研究所
237,072M4013H,环境与生物考古,Environmental Archaeology and Bioarchaeology,专业核心课,古生物学与地层学,40/3.0,"张双权,李小强",古脊椎动物与古人类研究所
238,072M4014H,高等构造地质学,Advanced Structural Geology,专业核心课,构造地质学,80/5.0,"侯泉林,林伟",地球与行星科学学院
239,072M4017H,第四纪地质与环境,Quaternary Geology and Environment,专业核心课,第四纪地质学,60/4.0,"吕厚远,刘嘉麒",地质与地球物理研究所
240,072M4019H,能源地质学,Energy Resource Geology,专业核心课,矿物学、岩石学、矿床学,60/4.0,"胡圣标,琚宜文",地球与行星科学学院
241,072M4020H,矿床地球化学,Ore Deposit Geochemistry,专业核心课,矿物学、岩石学、矿床学,60/4.0,"范宏瑞,陈华勇",地球与行星科学学院
242,072M4021H,沉积大地构造学,Sedimentation and Tectonics,专业核心课,构造地质学,60/4.0,闫全人,地球与行星科学学院
243,072M5003H,岩石热力学,Petrological Thermodynamics,专业普及课,矿物学、岩石学、矿床学,40/2.5,"吴春明,陈意",地质与地球物理研究所
244,072M5005H,层序地层学,Sequence Stratigraphy,专业普及课,矿物学、岩石学、矿床学,42/2.5,"陈代钊,周锡强",地质与地球物理研究所
245,072M5007H,成因矿物学,Genetic Mineralogy,专业普及课,矿物学、岩石学、矿床学,50/3.0,"李永兵,杨主明",地球与行星科学学院
246,072M5013H,生物进化论,Biological Evolution,专业普及课,古生物学与地层学,40/2.5,郭建崴,古脊椎动物与古人类研究所
247,072M5014H,构造与成矿作用（含矿田构造）,Metallization and Tectonics,专业普及课,构造地质学,36/2.0,"刘庆,闫全人",地球与行星科学学院
248,072M5015H,显微构造地质学,Microtectonics,专业普及课,构造地质学,50/3.0,"张进江,赵桂萍",地球与行星科学学院
249,072M5018H,稳定同位素与古环境,Stable Isotopes and Paleoenvironment,专业普及课,第四纪地质学,40/2.5,"刘卫国,杨石岭",地质与地球物理研究所
250,072M5020H,现代地质学概论,An introduction to Modern Geology,专业普及课,矿物学、岩石学、矿床学,40/2.5,王清晨,地球与行星科学学院
251,072M5021H,前新生代环境,Pre-Cenozoic Environment,专业普及课,第四纪地质学,32/2.0,汉景泰,地质与地球物理研究所
252,072M5023H,金属矿床成矿理论研究进展,Advancement of Research on the Metal Mineralization,专业普及课,矿物学、岩石学、矿床学,30/2.0,"杨奎锋,李晓峰",地质与地球物理研究所
253,072M5024H,地球化学概论,An Introduction to Geochemistry,专业普及课,地球化学,40/2.5,"汤艳杰,英基丰",地球与行星科学学院
254,072M6001H,火山学,Volcanology,专业研讨课,矿物学、岩石学、矿床学,20/1.0,郭正府,地球与行星科学学院
255,073M4001H,高等大气动力学,Advanced Atmospheric Dynamics,专业核心课,气象学,72/4.5,林一骅,大气物理研究所
256,073M4003H,中小尺度天气动力学与数值模拟,Dynamics of Meso-scale System and Numerical Simulation,专业核心课,气象学,60/4.0,"冉令坤,高守亭",大气物理研究所
257,073M4004H,云与降水过程及其数值模拟,Cloud Physics and Numerical Simulations,专业核心课,,80/5.0,"雷恒池,孙继明",大气物理研究所
258,073M4006H,大气物理学,Atmospheric Physics,专业核心课,大气物理学与大气环境,60/4.0,"郄秀书,卞建春",大气物理研究所
259,073M4007H,大气辐射学,Atmospheric Radiation,专业核心课,大气物理学与大气环境,60/4.0,"王普才,石广玉",大气物理研究所
260,073M4008H,大气探测学,Atmospheric observation,专业核心课,大气物理学与大气环境,60/4.0,"郄秀书,夏祥鳌",大气物理研究所
261,073M4009H,大气化学,Atmospheric Chemistry,专业核心课,大气物理学与大气环境,60/4.0,"徐永福,贾龙",大气物理研究所
262,073M4010H,碳氮循环及其模拟,Processes and Modelling of Carbon and Nitrogen Cycles,专业核心课,大气物理学与大气环境,75/4.5,郑循华,大气物理研究所
263,073M5001H,气候统计方法和应用,Statistical Analysis and Application in Climate Research,专业普及课,气象学,50/3.0,"华丽娟,严中伟",地球与行星科学学院
264,073M5004H,天气动力学与诊断分析,Synoptic Dynamics and Diagnostic Analysis,专业普及课,气象学,45/2.5,"周玉淑,崔晓鹏",大气物理研究所
265,073M5005H,雷达气象学原理和应用,Radar Meteorology: Principles and Applications,专业普及课,气象学,48/3.0,"刘黎平,肖辉",其它
266,073M5009H,大气污染数值预报基础和模式,"Physical, Chemical, Biological Processes and Mathematical Model on Air Pollution",专业普及课,大气物理学与大气环境,30/2.0,"张美根,韩霄",大气物理研究所
267,073M6001H,气候变化讨论课,Overview of Climate Change Sciences in IPCC WG1 AR5,专业研讨课,气象学,20/1.0,周天军,大气物理研究所
268,073M6007H,土壤碳氮过程与温室气体,Soil Carbon and Nitrogen Processes and Greenhouse Gases,专业研讨课,大气物理学与大气环境,30/1.5,徐星凯,大气物理研究所
269,075M4001H,工程地质学,Engineering Geology,专业核心课,地质工程,60/4.0,"尚彦军,胡瑞林",地质与地球物理研究所
270,075M4002H,水文地质学,Hydrogeology,专业核心课,地质工程,60/4.0,"庞忠和,董艳辉",地球与行星科学学院
271,075M4003H,地热地质学,Geothermal Geology,专业核心课,地质工程,60/4.0,"胡圣标,张健",地质与地球物理研究所
272,075M5001H,岩体力学,Rock Mechanics,专业普及课,地质工程,40/2.5,"崔振东,李晓",地质与地球物理研究所
273,075M5002H,灾害地质学,Disaster Geology,专业普及课,地质工程,40/2.5,"尚彦军,曾庆利",地球与行星科学学院
274,076M4001H,物理大地测量学,Physical Geodecy,专业核心课,大地测量学与测量工程,62/4.0,"鲍李峰,陆洋",测量与地球物理研究所
275,076M4003H,时变重力学,Time-varying Gravity,专业核心课,大地测量学与测量工程,60/4.0,孙文科,地球与行星科学学院
276,076M5001H,成像大地测量学概论,Introduction of Imaging Geodesy,专业普及课,大地测量学与测量工程,30/2.0,"沈强,江利明",测量与地球物理研究所
277,07MGX001H,地球-我们生活的行星,Earth-the Planet We Live on,公共选修课,,30/1.0,石耀霖,地球与行星科学学院
278,07MGX005H,世界历史文化名城赏析,The Famous Historical and Cultural city in the World,公共选修课,,30/1.0,王大伟,地球与行星科学学院
279,07MGX007H,中国民居建筑艺术赏析,The Architectural Art of Chinese Vernacular Dwellings,公共选修课,,30/1.0,吴艳,地球与行星科学学院
280,07MGX008H,巨构建筑简史,A Brief History of Mega Structure,公共选修课,,30/1.0,彭相国,地球与行星科学学院
281,07MGX012H,中国建筑赏析,The Art of Chinese Architecture,公共选修课,,30/1.0,陈晓红,地球与行星科学学院
282,081M1001H,当代人文与经济地理学,Contemporary Human and Economic Geography,一级学科核心课,地理学,60/4.0,"张文忠,刘卫东",地理科学与资源研究所
283,081M1002H,区域可持续发展理论与实践,Theories and practices of regional sustainable development,一级学科核心课,地理学,60/4.0,"刘慧,刘毅",地理科学与资源研究所
284,081M1003H,现代自然地理学,Modern Physical Geography,一级学科核心课,地理学,54/3.0,"吴绍洪,郑度",地理科学与资源研究所
285,081M1004H,资源生态学,Ecology of Resources,一级学科核心课,地理学,50/3.0,"谢高地,闵庆文",地理科学与资源研究所
286,081M1005H,资源经济学,Resource Economics,一级学科核心课,地理学,50/3.0,"王礼茂,沈镭",地理科学与资源研究所
287,081M1006H,资源科学纲要,Essentials of Resource Science,一级学科核心课,地理学,50/3.0,"江东,封志明",资源与环境学院
288,081M1007H,现代地图学,Mordern Cartography,一级学科核心课,地理学,52/3.0,"齐清文,周成虎",地理科学与资源研究所
289,081M1008H-A,地理信息科学-A,Geographical Information Science,一级学科核心课,地理学,52/3.0,"周成虎,宋现锋",地理科学与资源研究所
290,081M1008H-B,地理信息科学-B,Geographical Information Science,一级学科核心课,地理学,52/3.0,"周成虎,岳天祥",地理科学与资源研究所
291,081M1009H-A,遥感科学-A,Remote Sensing Science,一级学科核心课,地理学,60/4.0,姜小光,资源与环境学院
292,081M1009H—B,遥感科学-B,Remote Sensing Science,一级学科核心课,地理学,60/4.0,姜小光,资源与环境学院
293,081M2002H,冰冻圈科学概论,Cryospheric Sciences,一级学科普及课,地理学,51/2.0,"秦大河,效存德",资源与环境学院
294,081M2003H,现代水文学与水资源学,Modern Hydrology and Water Resources,一级学科普及课,地理学,50/2.5,"于静洁,宋献方",地理科学与资源研究所
295,081M2004H,环境地学导论,Introduction to Geo-environmental Science,一级学科普及课,地理学,51/3.0,"杨林生,戴尔阜",地理科学与资源研究所
296,081M2007H-1,地理信息系统应用实践-1,GIS Tutorial and Practice,一级学科普及课,地理学,30/1.5,"宋现锋,宋辞",地理科学与资源研究所
297,081M2007H-2,地理信息系统应用实践-2,GIS Tutorial and Practice,一级学科普及课,地理学,30/1.5,"杜云艳,王江浩",地理科学与资源研究所
298,081M2009H,遥感智能计算与信息提取,Remote sensing intelligent computing and information extraction,一级学科普及课,地理学,42/2.0,"骆剑承,杨晓梅",遥感应用研究所
299,081M4008H,空间分析,Spatial analysis,专业核心课,,60/4.0,"宋现锋,裴韬",地理科学与资源研究所
300,081M5005H,Python空间数据处理,Geo-processing with Python,专业普及课,地图学与地理信息系统,54/3.0,"宋现锋,芮小平",资源与环境学院
301,081M5009H,全球导航卫星系统原理与应用,Global Navigation Satellite System,专业普及课,地图学与地理信息系统,51/3.0,"许长辉,党亚民",其它
302,081M5010H,产业与交通地理学,Industry and Transport Geography,专业普及课,人文地理学,45/3.0,"张晓平,金凤君",资源与环境学院
303,081M5023H,数字地图制图与应用,Digital Map Making and Using,专业普及课,地图学与地理信息系统,30/2.0,齐清文,地理科学与资源研究所
304,081M5024H,热红外遥感,Remote Sensing in Thermal Infrared,专业普及课,地图学与地理信息系统,36/2.0,"唐伯惠,李召良",地理科学与资源研究所
305,081M5027H,遥感物理,Remote Sensing Physics,专业普及课,地图学与地理信息系统,51/3.0,"郭华东,牛铮",遥感应用研究所
306,081M5029H,资源循环利用与生态经济,Resources Recycling and Ecological Economics,专业普及课,自然资源学,36/2.0,"董锁成,李泽红",地理科学与资源研究所
307,081M6001H,人口流动与城镇化讨论班,The Floating Population and Urbanization Seminar,专业研讨课,人文地理学,21/1.0,刘盛和,地理科学与资源研究所
308,081M6002H,旅游资源评价与利用,Evaluation and utilization of Tourism Resources,专业研讨课,人文地理学,21/1.0,钟林生,地理科学与资源研究所
309,081M6021H,城市地理信息系统,Urban GIS,专业研讨课,地图学与地理信息系统,21/1.0,陆锋,地理科学与资源研究所
310,081M6035H,高光谱遥感,Hyperspectral Remote Sensing,专业研讨课,地图学与地理信息系统,21/1.0,张兵,资源与环境学院
311,082M1001H,全球变化生态学,Global Change Ecology,一级学科核心课,生态学,60/3.0,"方精云,冯晓娟",植物研究所
312,082M1002H,生态系统生态学A,Ecosystem Ecology,一级学科核心课,生态学,60/3.0,"黄建辉,白永飞",植物研究所
313,082M1004H,生态系统观测与实验的基本原理与方法,Theories and Methods in Ecosystem Observation and Experiment,一级学科核心课,生态学,60/3.0,"李胜功,孙晓敏",地理科学与资源研究所
314,082M1007H,景观与区域生态学,Landscape and Urban Ecology,一级学科核心课,生态学,54/3.0,"陈利顶,傅伯杰",生态环境研究中心
315,082M1008H,高级生态学,Advanced Ecology,一级学科核心课,生态学,51/3.0,"于贵瑞,欧阳志云",地理科学与资源研究所
316,082M2008H,环境规划与管理,Environmental Planning and Management,一级学科普及课,生态学,40/2.0,"吕永龙,王铁宇",生态环境研究中心
317,082M2011H-1,生态学试验设计和统计方法,Experimental Design and Statistical Analysis in Ecology,一级学科普及课,生态学,54/3.0,"程淑兰,黄耀",大气物理研究所
318,082M2011H-2,生态学试验设计和统计方法,Experimental Design and Statistical Analysis in Ecology,一级学科普及课,生态学,54/3.0,"牛海山,黄耀",资源与环境学院
319,082M2014H-1,R语言及其在生态学中的应用-1,R language and its application in ecology,一级学科普及课,生态学,40/2.0,"赖江山,马克平",植物研究所
320,082M2014H-2,R语言及其在生态学中的应用-2,R language and its application in ecology,一级学科普及课,生态学,40/2.0,"赖江山,马克平",植物研究所
321,082M2016H,植物生理生态学,Plant Physiological Ecology,专业普及课,生态学,40/2.0,"崔骁勇,张文浩",植物研究所
322,082M3003H,农业生态系统生态学,Agricultural ecosystem ecology,一级学科研讨课,生态学,20/1.0,欧阳竹,地理科学与资源研究所
323,082M3004H,高原生态系统生态学,Advance in Qinghai-Tibetan Plateau Ecosystem Ecology,一级学科研讨课,生态学,21/1.0,张宪洲,地理科学与资源研究所
324,082M3005H,遥感生态学,Remote Sensing Ecology,一级学科研讨课,生态学,21/1.0,张扬建,地理科学与资源研究所
325,082M3006H,恢复生态学,Restoration Ecology,一级学科研讨课,生态学,20/1.0,陶福禄,地理科学与资源研究所
326,082M3008H,环境变化的生态效应专题研讨,Thesis Seminar: Ecological Effects of Environmental Changes,一级学科研讨课,生态学,21/1.0,冯兆忠,生态环境研究中心
327,083M1001H,大气污染控制技术,Air Pollution Control Technologies,一级学科核心课,环境科学与工程,60/3.0,"余运波,贺泓",生态环境研究中心
328,083M1002H,大气环境化学,Atmospheric Environmental Chemistry,一级学科核心课,环境科学与工程,60/3.0,"牟玉静,王新明",生态环境研究中心
329,083M2001H,大气污染监测技术,Atmospheric Pollution Monitoring Technology,一级学科普及课,环境科学与工程,40/2.0,"刘建国,刘文清",生态环境研究中心
330,083M4002H,环境分子毒理学,Environmental Molecular Toxicology,专业核心课,环境科学,50/2.5,"何滨,赵斌",生态环境研究中心
331,083M4006H,现代环境微生物学,Current Environmental Microbiology,专业核心课,环境科学,50/2.5,"庄绪亮,刘双江",生态环境研究中心
332,083M4008H,高等环境化学,Advanced Environmental Chemistry,专业核心课,环境科学,60/4.0,"江桂斌,张爱茜",资源与环境学院
333,083M4009H,现代环境分析,Modern Environmental Analysis,专业核心课,环境科学,60/4.0,"郑明辉,蔡亚岐",生态环境研究中心
334,083M4012H,饮用水安全,Drinking Water Safety,专业核心课,环境工程,54/3.0,"石宝友,杨敏",资源与环境学院
335,083M5002H,纳米毒理学,Nanotoxicology,专业普及课,环境科学,40/2.0,"宋茂勇,万斌",生态环境研究中心
336,083M5006H-1,环境微生物实验-1,Experiments of Environmental Microbiology,实验课,,40/1.5,"张洪勋,余志晟",资源与环境学院
337,083M5006H-2,环境微生物实验-2,Experiments of Environmental Microbiology,实验课,,40/1.5,"张洪勋,余志晟",资源与环境学院
338,083M5007H,环境污染控制化学,Environmental pollution control chemistry,专业普及课,环境科学,40/2.0,"王亚韡,刘文彬",生态环境研究中心
339,083M5008H,环境纳米科学与技术,Environmental Nanoscience and Nanotechnology,专业普及课,环境科学,50/3.0,"刘景富,郝郑平",资源与环境学院
340,083M5009H,环境影响评价,Environmental Impact Assessment,专业普及课,环境科学,40/2.0,"程淑兰,张庆华",资源与环境学院
341,083M5013H,高级废水生物处理工程,Advanced Biological Wastewater Treatment Engineering,专业普及课,环境工程,40/2.0,"刘俊新,张昱",资源与环境学院
342,083M5014H,水质界面过程原理,Science and technology of aquatic surface process,专业普及课,环境工程,50/2.5,"郑建中,王东升",资源与环境学院
343,083M5015H,工业废气控制过程、材料与技术,"Pollution Control of Industrial Exhausts: Processes, Materials and Technologies",专业普及课,环境工程,60/3.0,"程杰,郝郑平",研究生院本部
344,083M5018H,环境工程数学模型与应用,Mathematical Models of Environmental Engineering and Case Studies,专业普及课,环境工程,40/2.0,"邢新会,钱智",资源与环境学院
345,083M5020H,膜分离原理与技术,The Membrane Separation Principle and Technology,专业普及课,环境工程,40/2.0,"魏源送,王军",生态环境研究中心
346,083M5022H,环境修复与资源工程,Environment Remediation and Resources Engineering,专业普及课,环境工程,40/2.0,"陈同斌,雷梅",地理科学与资源研究所
347,083M5023H-1,环境数据的统计学分析方法-1,Statistical Methods for Environmental Data Analysis,专业普及课,环境科学,60/4.0,"肖康,张爱茜",资源与环境学院
348,083M5023H-2,环境数据的统计学分析方法-2,Statistical Methods for Environmental Data Analysis,专业普及课,环境科学,60/4.0,"肖康,张爱茜",资源与环境学院
349,083M5025H,新型有机污染物前沿进展,Frontier Development of Emerging Organic Pollutants,专业普及课,环境工程,40/2.0,"苏贵金,廖春阳",资源与环境学院
350,083M5026H,土壤物理学,Soil Physics,专业普及课,环境科学,50/3.0,"贾小旭,邵明安",地理科学与资源研究所
351,083M5027H,环境土壤学,Environmental Soil Science,专业普及课,环境科学,40/2.0,"崔岩山,马义兵",资源与环境学院
352,083M6008H,水处理药剂与材料,Agent & Materials for Water Treatment,专业研讨课,环境工程,20/1.0,彭先佳,生态环境研究中心
353,091M4001H,计算机体系结构,Computer Architecture,专业核心课,计算机系统结构,60/3.0,"胡伟武,汪文祥",计算技术研究所
354,091M4021H-1,高级软件工程,Advanced Software Engineering,一级学科核心课,计算机软件与理论软件工程,60/3.0,魏峻,软件研究所
355,091M4021H-2,高级软件工程,Advanced Software Engineering,一级学科核心课,计算机软件与理论软件工程,60/3.0,"魏峻,罗铁坚",计算机与控制学院
356,091M4023H,数理逻辑与程序理论,Mathematical Logic and Theory of Programming,专业核心课,计算机软件与理论,60/3.0,"詹乃军,眭跃飞",软件研究所
357,091M4041H,计算机算法设计与分析,Algorithm design and analysis,专业核心课,计算机应用技术,60/3.0,卜东波,计算技术研究所
358,091M4042H-1,模式识别与机器学习,Pattern Recognition and Machine Learning,专业核心课,计算机应用技术,60/3.0,"黄庆明,山世光",计算技术研究所
359,091M4042H-2,模式识别与机器学习,Pattern Recognition and Machine Learning,专业核心课,计算机应用技术,60/3.0,"卿来云,黄庆明",计算机与控制学院
360,091M4043H,高级人工智能,Advanced Artificial Intelligence,专业核心课,计算机应用技术,60/3.0,"吴高巍,程学旗",计算技术研究所
361,091M5001H,VLSI测试与可测试性设计,Testing and Testable Design of VLSI Systems,专业普及课,计算机系统结构,40/2.0,"李晓维,李华伟",计算机与控制学院
362,091M5004H,超大规模集成电路基础,Fundamental of VLSI,专业普及课,计算机系统结构,40/2.0,齐洪钢,信息工程研究所
363,091M5005H,移动互联网技术,Mobile Internet Technology,专业普及课,计算机系统结构,40/2.0,王文杰,心理研究所
364,091M5023H,数据挖掘,Data Mining,专业普及课,计算机软件与理论,40/2.0,刘莹,计算机与控制学院
365,091M5024H,编译程序高级教程,Compilers: An Advanced Course,专业普及课,计算机软件与理论软件工程,40/2.0,李炼,计算技术研究所
366,091M5025H,操作系统高级教程,Advance Operating system,专业普及课,计算机软件与理论软件工程,40/2.0,杨力祥,计算机与控制学院
367,091M5026H,并发数据结构与多核编程,Concurrent Data Structures and Multicore Programming,专业普及课,计算机软件与理论软件工程,40/2.0,"吕毅,林惠民",软件研究所
368,091M5027H,形式语言与自动机理论,Formal Language and Automata Theory,专业普及课,计算机软件与理论软件工程,40/2.0,姚刚,计算机与控制学院
369,091M5028H,矩阵分析与应用,Matrix Analysis and Applications,专业普及课,计算机软件与理论,40/2.0,李保滨,计算机与控制学院
370,091M5029H,算法中的最优化方法,Optimization Methods in Algorithms,专业普及课,计算机软件与理论,40/2.0,林姝,计算机与控制学院
371,091M5041H,人机交互,Human-Computer Interaction,专业普及课,计算机应用技术,40/2.0,"陈辉,王宏安",软件研究所
372,091M5042H,网络数据挖掘,Web Data Mining,专业普及课,计算机应用技术,40/2.0,"徐君,沈华伟",计算技术研究所
373,091M5047H,现代信息检索,Modern Information Retrieval,专业普及课,计算机应用技术,40/2.0,何苯,计算机与控制学院
374,091M5049H,图像处理与分析,Image Processing and Analysis,专业普及课,计算机应用技术,40/2.0,王伟强,计算机与控制学院
375,091M6043H,认知计算,Cognitive Computing Seminar,专业研讨课,计算机应用技术,20/1.0,何清,计算技术研究所
376,092M1002H-1,计算机算法设计与分析,The Design and Analysis of Computer Algorithms,一级学科核心课,软件工程,60/3.0,"陈玉福,马菲菲",软件研究所
377,092M1002H-2,计算机算法设计与分析,The Design and Analysis of Computer Algorithms,一级学科核心课,软件工程,60/3.0,"陈玉福,刘玉贵",计算机与控制学院
378,092M1002H-3,计算机算法设计与分析,The Design and Analysis of Computer Algorithms,一级学科核心课,软件工程,60/3.0,"陈玉福,马丙鹏",计算技术研究所
379,092M2007H,数据库新技术,Database New Technology,一级学科普及课,软件工程,40/2.0,苏桂平,计算机与控制学院
380,09MGX001H,C++ 程序设计,The C++ Programming Language,公共选修课,,40/1.0,杨力祥,计算机与控制学院
381,09MGX005H,Python语言导论,aaaIntroduction to Python,公共选修课,,40/1.0,张晋连,计算机与控制学院
382,101M1001H,矩阵论,Matrix Analysis and Applications,一级学科核心课,信息与通信工程,60/4.0,叶世伟,电子电气与通信工程学院
383,101M1002H,随机过程（电子与通信类）,Stochastic Processes,一级学科核心课,信息与通信工程,60/4.0,孙应飞,电子电气与通信工程学院
384,101M1003H,现代数字信号处理,Modern Digital Signal Processing,一级学科核心课,信息与通信工程,60/4.0,张颢,其它
385,101M1004H,信息论,Elements of Information Theory,一级学科核心课,信号与信息处理,60/4.0,陈德元,电子电气与通信工程学院
386,101M4001H,现代雷达系统,Modern Radar Theory and Technologies,专业核心课,通信与信息系统,80/5.0,张云华,中国科学院国家空间科学中心
387,101M4002H,高级通信原理I,Modern digital communication I,专业核心课,通信与信息系统,50/3.0,凃国防,电子电气与通信工程学院
388,101M4007H,语音信号处理,Speech signal processing,专业核心课,信号与信息处理,50/3.0,"李军锋,颜永红",声学研究所
389,101M5002H,数字视频处理,Digital Video Processing,专业普及课,通信与信息系统,50/3.0,高绍帅,电子电气与通信工程学院
390,101M5003H,计算机网络,Computer Networks,专业普及课,通信与信息系统,50/3.0,鲁士文,计算技术研究所
391,101M5007H,数字图像处理与分析,Digital Image Processing in Electronics and Communication,专业普及课,信号与信息处理,50/3.0,韩振军,电子电气与通信工程学院
392,101M5009H,小波与滤波器设计,Wavelet and filter banks,专业普及课,信号与信息处理,60/4.0,"彭思龙,李保滨",计算机与控制学院
393,101M5010H,高光谱遥感基础与数据处理,Hyperspectral Remote Sensing and Data Processing,专业普及课,信号与信息处理,60/4.0,"耿修瑞,赵永超",电子学研究所
394,101M5012H,水声建模与声纳系统分析,Underwater Acoustic Modeling and Sonar System Analysis,专业普及课,信号与信息处理,30/2.0,马晓川,声学研究所
395,101M5013H,现代信号处理Ⅰ,Modern Signal Processing Ⅰ,专业普及课,信号与信息处理,50/3.0,黄志蓓,电子电气与通信工程学院
396,101M5016H,空间光通信技术,Spatial Optical Communication Technology,专业普及课,通信与信息系统,30/2.0,陈雄斌,半导体研究所
397,101M6001H,电声原理与应用,Fundamentals and Applications of Electroacoustics,专业研讨课,通信与信息系统,20/1.0,郑成诗,声学研究所
398,101M6002H,干涉合成孔径雷达技术,Interferometric Synthetic Aperture Radar,专业研讨课,信号与信息处理,20/1.0,向茂生,电子学研究所
399,101M6004H,微波遥感概论,Introduction to Microwave Remote Sensing,专业研讨课,信号与信息处理,20/1.0,禹卫东,电子学研究所
400,101M6005H,声波测井前沿及定量处理方法,Frontier and quantitative processing method of acoustic logging,专业研讨课,信号与信息处理,20/1.0,陈浩,声学研究所
401,101M6006H,合成孔径雷达原理,Synthetic Aperture Radar Principle,专业研讨课,信号与信息处理,20/1.0,王宇,电子学研究所
402,102M2001H,数值分析（电子与通信类）,Numerical Analysis,一级学科普及课,电子科学与技术,40/2.5,肖良,数学科学学院
403,102M2003H,半导体微纳加工技术,Micro/Nano processing technology for semiconductors,一级学科普及课,电路与系统,50/3.0,"樊中朝,王晓东",半导体研究所
404,102M4001H,微波电子学,Microwave Electronics,专业核心课,物理电子学,60/4.0,罗积润,电子学研究所
405,102M4002H-1,高级电磁理论,Advanced Electromagnetic Theory,专业核心课,物理电子学,54/3.0,王勇,电子学研究所
406,102M4002H-2,高级电磁理论,Advanced Electromagnetic Theory,专业核心课,物理电子学,54/3.0,纪奕才,电子学研究所
407,102M4004H,超大规模集成电路（VLSI）与系统设计,Very Large Scale Integration (VLSI) and System Design,专业核心课,电路与系统,80/5.0,段成华,电子电气与通信工程学院
408,102M4005H,半导体器件物理学,Physics of Semiconductor Devices,专业核心课,电路与系统,80/5.0,许军,清华大学
409,102M4006H-1,半导体工艺与制造技术,Semiconductor Process and Manufacturing Technology,专业核心课,电路与系统,53/3.0,"殷华湘,韩郑生",微电子研究所
410,102M4006H-2,半导体工艺与制造技术,Semiconductor Process and Manufacturing Technology,专业核心课,电路与系统,53/3.0,"陈宝钦,夏洋",电子学研究所
411,102M4007H-1,微机电系统基础,Foundations of MEMS,专业核心课,电路与系统,50/3.0,"邹旭东,薛宁",电子学研究所
